Clube,Plantel,ø Idade,Estrangeiros,ø Valor de Mercado,Valor de Mercado Total
SE Palmeiras,55,"25,1",4,"2,57 mi. €","141,13 mi. €"
CR Flamengo,48,"23,6",7,"2,46 mi. €","118,15 mi. €"
São Paulo FC,62,"22,7",5,"1,45 mi. €","90,13 mi. €"
Grêmio FBPA,54,"23,6",2,"1,31 mi. €","70,75 mi. €"
Santos FC,55,"23,3",8,"1,25 mi. €","68,88 mi. €"
SC Internacional,50,"24,4",9,"1,23 mi. €","61,45 mi. €"
SC Corinthians,54,"23,5",6,"1,13 mi. €","60,80 mi. €"
Cruzeiro EC,46,"23,8",4,"1,12 mi. €","51,43 mi. €"
Atlético Mineiro,59,"23,5",8,846 mil €,"49,90 mi. €"
EC Bahia,59,"23,9",1,744 mil €,"43,90 mi. €"
CR Vasco da Gama,63,"23,5",4,694 mil €,"43,75 mi. €"
Fluminense FC,60,"22,9",2,664 mil €,"39,85 mi. €"
Athletico Paranaense,51,"22,7",6,661 mil €,"33,70 mi. €"
Botafogo FR,47,"23,3",5,704 mil €,"33,10 mi. €"
Chapecoense,58,"25,1",2,570 mil €,"33,05 mi. €"
CSA,62,"26,1",7,463 mil €,"28,70 mi. €"
Fortaleza EC,48,"25,5",4,513 mil €,"24,60 mi. €"
Goiás EC,61,"23,2",2,386 mil €,"23,55 mi. €"
Ceará SC,48,"25,6",1,461 mil €,"22,15 mi. €"
Avaí FC,55,"24,2",4,242 mil €,"13,30 mi. €"
