Clube,Plantel,ø Idade,Estrangeiros,ø Valor de Mercado,Valor de Mercado Total,Temporada
São Paulo FC,45,"24,8",6,"3,33 mi. €","149,65 mi. €",2014
SC Corinthians,44,"24,3",5,"1,99 mi. €","87,55 mi. €",2014
Santos FC,49,"22,6",6,"1,50 mi. €","73,40 mi. €",2014
Atlético Mineiro,55,"24,6",2,"1,16 mi. €","63,85 mi. €",2014
Fluminense FC,43,"23,1",2,"1,13 mi. €","48,80 mi. €",2014
SE Palmeiras,55,"23,2",8,856 mil €,"47,10 mi. €",2014
Grêmio FBPA,63,"21,5",6,738 mil €,"46,50 mi. €",2014
CR Flamengo,47,"23,9",6,952 mil €,"44,75 mi. €",2014
Cruzeiro EC,44,"24,1",4,990 mil €,"43,55 mi. €",2014
SC Internacional,60,"22,4",5,586 mil €,"35,15 mi. €",2014
Botafogo FR,51,"23,9",6,555 mil €,"28,30 mi. €",2014
EC Vitória,69,"23,8",8,367 mil €,"25,30 mi. €",2014
Coritiba FC,54,"24,0",6,430 mil €,"23,20 mi. €",2014
Sport Recife,65,"24,5",3,347 mil €,"22,58 mi. €",2014
EC Bahia,62,"24,0",6,341 mil €,"21,15 mi. €",2014
Criciúma EC,73,"24,6",1,232 mil €,"16,95 mi. €",2014
Figueirense FC,51,"24,1",2,223 mil €,"11,35 mi. €",2014
Clube Atlético Paranaense,46,"22,1",3,190 mil €,"8,75 mi. €",2014
Goiás EC,40,"23,4",0,155 mil €,"6,20 mi. €",2014
Chapecoense,44,"25,2",1,126 mil €,"5,53 mi. €",2014
São Paulo FC,49,"24,1",5,"1,86 mi. €","91,15 mi. €",2015
SC Internacional,57,"23,3",5,"1,20 mi. €","68,25 mi. €",2015
SE Palmeiras,54,"23,9",7,"1,23 mi. €","66,45 mi. €",2015
Cruzeiro EC,48,"24,0",6,"1,35 mi. €","64,70 mi. €",2015
Fluminense FC,60,"24,0",3,990 mil €,"59,40 mi. €",2015
SC Corinthians,44,"23,8",5,"1,23 mi. €","54,00 mi. €",2015
Atlético Mineiro,44,"25,0",3,"1,16 mi. €","50,88 mi. €",2015
Grêmio FBPA,56,"22,4",7,870 mil €,"48,73 mi. €",2015
CR Flamengo,43,"24,1",7,905 mil €,"38,90 mi. €",2015
Santos FC,46,"23,0",4,735 mil €,"33,83 mi. €",2015
CR Vasco da Gama,55,"25,2",8,551 mil €,"30,30 mi. €",2015
Sport Recife,49,"23,4",0,379 mil €,"18,55 mi. €",2015
Coritiba FC,55,"23,8",1,303 mil €,"16,65 mi. €",2015
Figueirense FC,54,"23,0",1,264 mil €,"14,25 mi. €",2015
Clube Atlético Paranaense,54,"22,3",5,261 mil €,"14,10 mi. €",2015
Avaí FC,51,"24,0",3,220 mil €,"11,20 mi. €",2015
AA Ponte Preta,65,"23,3",0,154 mil €,"10,00 mi. €",2015
Chapecoense,45,"25,6",0,209 mil €,"9,40 mi. €",2015
Goiás EC,61,"23,0",0,130 mil €,"7,90 mi. €",2015
Joinville EC,63,"23,5",1,86 mil €,"5,40 mi. €",2015
CR Flamengo,42,"24,3",6,"1,47 mi. €","61,90 mi. €",2016
Cruzeiro EC,51,"23,3",8,"1,10 mi. €","56,35 mi. €",2016
Fluminense FC,48,"23,7",3,"1,16 mi. €","55,75 mi. €",2016
São Paulo FC,48,"23,1",8,"1,16 mi. €","55,70 mi. €",2016
Atlético Mineiro,61,"22,9",5,862 mil €,"52,60 mi. €",2016
SE Palmeiras,47,"25,0",5,"1,11 mi. €","51,95 mi. €",2016
Grêmio FBPA,55,"22,8",4,742 mil €,"40,80 mi. €",2016
SC Internacional,52,"23,5",6,722 mil €,"37,53 mi. €",2016
Sport Recife,64,"23,7",5,584 mil €,"37,40 mi. €",2016
América Mineiro,58,"23,5",2,608 mil €,"35,25 mi. €",2016
SC Corinthians,44,"23,2",2,770 mil €,"33,90 mi. €",2016
Clube Atlético Paranaense,67,"22,5",6,437 mil €,"29,30 mi. €",2016
AA Ponte Preta,65,"23,9",0,368 mil €,"23,95 mi. €",2016
Chapecoense,63,"25,4",2,348 mil €,"21,90 mi. €",2016
Coritiba FC,54,"23,4",7,373 mil €,"20,15 mi. €",2016
Santos FC,53,"22,4",8,350 mil €,"18,53 mi. €",2016
EC Vitória,41,"23,2",4,438 mil €,"17,95 mi. €",2016
Botafogo FR,52,"23,6",5,329 mil €,"17,10 mi. €",2016
Figueirense FC,59,"23,8",2,283 mil €,"16,70 mi. €",2016
Santa Cruz FC,59,"23,8",2,224 mil €,"13,23 mi. €",2016
São Paulo FC,53,"23,6",7,"1,86 mi. €","98,60 mi. €",2017
CR Flamengo,48,"23,7",7,"1,91 mi. €","91,45 mi. €",2017
Cruzeiro EC,50,"23,6",6,"1,77 mi. €","88,40 mi. €",2017
Atlético Mineiro,57,"23,9",4,"1,54 mi. €","87,93 mi. €",2017
SE Palmeiras,48,"25,5",4,"1,54 mi. €","73,95 mi. €",2017
Grêmio FBPA,76,"22,6",9,878 mil €,"66,75 mi. €",2017
SC Corinthians,43,"23,5",3,"1,31 mi. €","56,20 mi. €",2017
Santos FC,47,"23,5",5,"1,11 mi. €","52,20 mi. €",2017
Sport Recife,46,"23,6",3,"1,02 mi. €","47,10 mi. €",2017
EC Vitória,47,"24,6",6,988 mil €,"46,45 mi. €",2017
CR Vasco da Gama,47,"24,7",5,960 mil €,"45,10 mi. €",2017
Clube Atlético Paranaense,52,"23,3",4,863 mil €,"44,88 mi. €",2017
Chapecoense,62,"23,0",6,637 mil €,"39,48 mi. €",2017
Fluminense FC,51,"22,6",2,728 mil €,"37,15 mi. €",2017
Coritiba FC,51,"24,5",2,677 mil €,"34,53 mi. €",2017
EC Bahia,48,"23,1",4,710 mil €,"34,10 mi. €",2017
Botafogo FR,52,"23,3",5,585 mil €,"30,40 mi. €",2017
AA Ponte Preta,53,"24,4",4,537 mil €,"28,48 mi. €",2017
Atlético Goianiense,57,"23,2",0,276 mil €,"15,73 mi. €",2017
Avaí FC,57,"23,4",5,262 mil €,"14,93 mi. €",2017
SE Palmeiras,51,"24,4",4,"1,73 mi. €","88,28 mi. €",2018
Santos FC,52,"22,9",5,"1,63 mi. €","84,50 mi. €",2018
São Paulo FC,57,"22,9",5,"1,42 mi. €","80,85 mi. €",2018
Atlético Mineiro,61,"23,2",6,"1,16 mi. €","70,95 mi. €",2018
CR Flamengo,56,"22,8",7,"1,26 mi. €","70,68 mi. €",2018
Grêmio FBPA,66,"24,0",3,"1,06 mi. €","69,65 mi. €",2018
Cruzeiro EC,54,"23,6",7,"1,23 mi. €","66,45 mi. €",2018
SC Corinthians,58,"24,1",6,"1,09 mi. €","63,40 mi. €",2018
SC Internacional,53,"23,9",7,"1,11 mi. €","59,05 mi. €",2018
EC Vitória,65,"23,7",8,753 mil €,"48,95 mi. €",2018
CR Vasco da Gama,58,"23,9",7,777 mil €,"45,08 mi. €",2018
Clube Atlético Paranaense,55,"23,7",3,757 mil €,"41,65 mi. €",2018
Sport Recife,60,"23,7",2,669 mil €,"40,15 mi. €",2018
EC Bahia,52,"23,2",2,753 mil €,"39,15 mi. €",2018
Fluminense FC,68,"21,9",4,482 mil €,"32,78 mi. €",2018
Chapecoense,57,"24,3",5,569 mil €,"32,45 mi. €",2018
Ceará SC,65,"25,0",2,496 mil €,"32,25 mi. €",2018
América Mineiro,59,"24,3",1,521 mil €,"30,75 mi. €",2018
Botafogo FR,46,"23,0",4,557 mil €,"25,60 mi. €",2018
Paraná Clube,64,"23,1",3,311 mil €,"19,88 mi. €",2018
SE Palmeiras,55,"25,1",4,"2,57 mi. €","141,13 mi. €",2019
CR Flamengo,48,"23,6",7,"2,46 mi. €","118,15 mi. €",2019
São Paulo FC,62,"22,7",5,"1,45 mi. €","90,13 mi. €",2019
Grêmio FBPA,54,"23,6",2,"1,31 mi. €","70,75 mi. €",2019
Santos FC,55,"23,3",8,"1,25 mi. €","68,88 mi. €",2019
SC Internacional,50,"24,4",9,"1,23 mi. €","61,45 mi. €",2019
SC Corinthians,54,"23,5",6,"1,13 mi. €","60,80 mi. €",2019
Cruzeiro EC,46,"23,8",4,"1,12 mi. €","51,43 mi. €",2019
Atlético Mineiro,59,"23,5",8,846 mil €,"49,90 mi. €",2019
EC Bahia,59,"23,9",1,744 mil €,"43,90 mi. €",2019
CR Vasco da Gama,63,"23,5",4,694 mil €,"43,75 mi. €",2019
Fluminense FC,60,"22,9",2,664 mil €,"39,85 mi. €",2019
Athletico Paranaense,51,"22,7",6,661 mil €,"33,70 mi. €",2019
Botafogo FR,47,"23,3",5,704 mil €,"33,10 mi. €",2019
Chapecoense,58,"25,1",2,570 mil €,"33,05 mi. €",2019
CSA,62,"26,1",7,463 mil €,"28,70 mi. €",2019
Fortaleza EC,48,"25,5",4,513 mil €,"24,60 mi. €",2019
Goiás EC,61,"23,2",2,386 mil €,"23,55 mi. €",2019
Ceará SC,48,"25,6",1,461 mil €,"22,15 mi. €",2019
Avaí FC,55,"24,2",4,242 mil €,"13,30 mi. €",2019
SC Corinthians,57,"23,7",8,"1,99 mi. €","113,45 mi. €",2020
CR Flamengo,64,"22,0",9,"1,64 mi. €","105,10 mi. €",2020
SE Palmeiras,57,"22,5",8,"1,54 mi. €","88,00 mi. €",2020
Atlético Mineiro,60,"23,3",11,"1,17 mi. €","70,15 mi. €",2020
SC Internacional,52,"23,4",10,"1,31 mi. €","68,25 mi. €",2020
