Clube,Plantel,ø Idade,Estrangeiros,ø Valor de Mercado,Valor de Mercado Total,Temporada,Time_ajustado,Chave,Pontos
SC Corinthians,57,23.7,8,1990000.0,113450000.0,2020,Corinthians,Corinthians2020,51
CR Flamengo,64,22.0,9,1640000.0,105100000.0,2020,Flamengo,Flamengo2020,71
SE Palmeiras,57,22.5,8,1540000.0,88000000.0,2020,Palmeiras,Palmeiras2020,58
Atlético Mineiro,60,23.3,11,1170000.0,70150000.0,2020,Atlético-MG,Atlético-MG2020,68
SC Internacional,52,23.4,10,1310000.0,68250000.0,2020,Internacional,Internacional2020,70
Grêmio FBPA,51,24.8,4,1280000.0,65300000.0,2020,Grêmio,Grêmio2020,59
São Paulo FC,47,22.9,6,1070000.0,50200000.0,2020,São Paulo,São Paulo2020,66
Santos FC,55,22.5,6,738000.0,40580000.0,2020,Santos,Santos2020,54
EC Bahia,68,23.1,1,583000.0,39680000.0,2020,Bahia,Bahia2020,44
CR Vasco da Gama,50,23.0,5,778000.0,38900000.0,2020,Vasco da Gama,Vasco da Gama2020,41
Coritiba FC,61,24.0,4,581000.0,35450000.0,2020,Coritiba,Coritiba2020,31
Botafogo FR,64,22.3,9,488000.0,31250000.0,2020,Botafogo,Botafogo2020,27
Athletico Paranaense,71,22.1,5,435000.0,30850000.0,2020,Athletico-PR,Athletico-PR2020,53
Goiás EC,71,22.8,7,411000.0,29200000.0,2020,Goiás,Goiás2020,37
Fluminense FC,57,23.0,3,483000.0,27530000.0,2020,Fluminense,Fluminense2020,64
Sport Recife,59,23.5,3,464000.0,27380000.0,2020,Sport,Sport2020,42
Ceará SC,48,24.8,0,484000.0,23250000.0,2020,Ceará,Ceará2020,52
Atlético Goianiense,67,21.6,2,317000.0,21250000.0,2020,Atlético-GO,Atlético-GO2020,50
Fortaleza EC,44,25.4,4,447000.0,19650000.0,2020,Fortaleza,Fortaleza2020,41
RB Bragantino,42,22.4,5,368000.0,15480000.0,2020,Bragantino,Bragantino2020,53
CR Flamengo,62,22.0,5,2990000.0,185600000.0,2021,Flamengo,Flamengo2021,71
SC Corinthians,50,23.0,6,2650000.0,132350000.0,2021,Corinthians,Corinthians2021,57
Grêmio FBPA,59,24.0,6,2040000.0,120280000.0,2021,Grêmio,Grêmio2021,43
Atlético Mineiro,48,23.9,8,2220000.0,106450000.0,2021,Atlético-MG,Atlético-MG2021,84
SE Palmeiras,58,22.3,5,1610000.0,93250000.0,2021,Palmeiras,Palmeiras2021,66
São Paulo FC,51,23.2,9,1410000.0,71900000.0,2021,São Paulo,São Paulo2021,48
SC Internacional,57,21.9,10,1260000.0,71850000.0,2021,Internacional,Internacional2021,48
Santos FC,63,22.2,5,852000.0,53700000.0,2021,Santos,Santos2021,50
Fluminense FC,63,23.2,6,621000.0,39130000.0,2021,Fluminense,Fluminense2021,54
RB Bragantino,44,21.7,5,768000.0,33800000.0,2021,Bragantino,Bragantino2021,56
Athletico Paranaense,63,21.5,5,498000.0,31350000.0,2021,Athletico-PR,Athletico-PR2021,47
Fortaleza EC,46,25.7,4,678000.0,31200000.0,2021,Fortaleza,Fortaleza2021,58
EC Bahia,74,23.0,6,410000.0,30350000.0,2021,Bahia,Bahia2021,43
Sport Recife,71,22.4,2,394000.0,27950000.0,2021,Sport,Sport2021,38
EC Juventude,49,26.2,6,547000.0,26830000.0,2021,Juventude,Juventude2021,46
Atlético Goianiense,63,22.1,2,392000.0,24700000.0,2021,Atlético-GO,Atlético-GO2021,53
Ceará SC,69,22.6,2,318000.0,21930000.0,2021,Ceará,Ceará2021,50
Cuiabá EC,62,22.7,3,339000.0,21000000.0,2021,Cuiabá,Cuiabá2021,47
América Mineiro,57,23.9,2,297000.0,16950000.0,2021,América-MG,América-MG2021,53
Chapecoense,53,23.1,0,259000.0,13750000.0,2021,Chapecoense,Chapecoense2021,15
CR Flamengo,61,23.1,5,2980000.0,181950000.0,2022,Flamengo,Flamengo2022,62
SC Corinthians,52,24.2,7,2540000.0,131900000.0,2022,Corinthians,Corinthians2022,65
Atlético Mineiro,44,25.0,8,2610000.0,115000000.0,2022,Atlético-MG,Atlético-MG2022,58
SE Palmeiras,42,23.1,6,2660000.0,111600000.0,2022,Palmeiras,Palmeiras2022,81
SC Internacional,51,24.0,9,2049999.9999999998,104430000.0,2022,Internacional,Internacional2022,73
Botafogo FR,62,24.0,6,1350000.0,83450000.0,2022,Botafogo,Botafogo2022,53
Athletico Paranaense,67,21.9,9,1060000.0,70930000.0,2022,Athletico-PR,Athletico-PR2022,58
São Paulo FC,48,23.0,10,1410000.0,67880000.0,2022,São Paulo,São Paulo2022,54
Santos FC,52,22.6,9,1000000.0,52180000.0,2022,Santos,Santos2022,47
RB Bragantino,47,21.4,6,1050000.0,49280000.0,2022,Bragantino,Bragantino2022,44
